state,model,mae,rmse,mape,smape
Georgia,SARIMA,14573562.42032621,15314090.744968092,3.8540652968771365,3.9377586520728514
Georgia,Prophet,10734514.400097646,11479215.98381541,2.8401517226942516,2.877225758117418
Georgia,XGBoost,9250769.95833332,9985365.988955343,2.4452538641631905,2.480531904731952
Georgia,LSTM,3632242.6361119896,3747954.985742054,0.9638288299177624,0.9688143292870883
Illinois,SARIMA,7046063.558789305,7348302.66728316,2.168760833467058,2.1946653485609735
Illinois,Prophet,12928959.629601464,13547078.235724153,3.9794750824683285,4.068504457542531
Illinois,XGBoost,14872698.745833285,14996070.962623663,4.57774262270278,4.686843027268724
Illinois,LSTM,3877472.978431158,4413030.959747877,1.1934899739585845,1.1955043879415095
Indiana,SARIMA,5418117.16840459,5722535.935727608,2.436458592122219,2.4700634725140787
Indiana,Prophet,5700593.625078689,6412967.359766125,2.563622130768871,2.60599052617138
Indiana,XGBoost,4079257.2458333485,4356834.478187396,1.8348277918273033,1.8542557590758597
Indiana,LSTM,2455978.372314792,2692414.9846124547,1.1045342206480961,1.1026226527895577
Iowa,SARIMA,1552877.4079142679,1804057.9961741036,1.3399587874098913,1.3517854948383212
Iowa,Prophet,1702107.5773382802,2110359.873383375,1.4706849362451844,1.4875141524654318
Iowa,XGBoost,4997857.637499999,5495062.931409964,4.312111684544022,4.427715453407134
Iowa,LSTM,1386039.29252748,1544421.190202118,1.1978982289226712,1.1968929985240988
Kansas,SARIMA,903130.2464093827,1181579.777462439,1.0006442629106298,0.9944670583816986
Kansas,Prophet,1525690.5740014873,1825155.0107982738,1.6820568706893686,1.6938722810068925
Kansas,XGBoost,2769124.2625000067,2840791.0900479876,3.0507194128252113,3.100576474926965
Kansas,LSTM,1486928.3681039587,1654122.6809898014,1.6386427946438324,1.6356581523649
Kentucky,SARIMA,2961685.9969825447,3203900.45161021,1.7185365124699585,1.7360098375064568
Kentucky,Prophet,3341642.141648397,4091222.319510338,1.9396241211650864,1.9679907073260672
Kentucky,XGBoost,4986330.533333335,5062877.653584879,2.894207443431638,2.9380717649329715
Kentucky,LSTM,1411240.7271387763,1623962.0141469338,0.8185693393156338,0.8201258750473329
Louisiana,SARIMA,6896018.431126393,7182843.008561948,3.747055237123936,3.8248564978977218
Louisiana,Prophet,5745982.622136936,6345384.634841527,3.120326125323297,3.177763563934133
Louisiana,XGBoost,9996665.977083351,10569191.6877814,5.429547099935967,5.599620334615711
Louisiana,LSTM,1219835.3890478425,1336774.1361122448,0.6625592637466682,0.6610213674222517
Maine,SARIMA,1469478.3267077375,1560567.3170730106,3.1184322257696606,3.174196491150399
Maine,Prophet,3515738.8727658223,3694952.113862658,7.463182450822868,7.78427889447037
Maine,XGBoost,1523132.6395833325,1666749.8440568876,3.2302213377021625,3.2938841078671106
Maine,LSTM,177991.7609901484,189764.3682850091,0.3781963847375371,0.37801611807191404
Maryland,SARIMA,2817344.2656148,2896446.8518099585,1.7292551113624404,1.745204454278873
Maryland,Prophet,5554279.557900596,6175433.951103726,3.409681626612489,3.4833244179526996
Maryland,XGBoost,3698521.856250014,4106271.4101790977,2.2682509825607755,2.3004251590788583
Maryland,LSTM,474631.2570044473,664078.939147452,0.29204969095770733,0.2928452067766789
Massachusetts,SARIMA,2047478.8722389825,2200561.401027076,1.103246303429364,1.1103254673395921
Massachusetts,Prophet,4789412.9582714215,5539103.527228775,2.5806845504867435,2.6261427153640655
Massachusetts,XGBoost,3708029.329166677,3736785.2505071717,1.9981816615917039,2.0186683599736432
Massachusetts,LSTM,2071406.6707322188,2437733.828860638,1.1156278216417608,1.1243206394141363
Michigan,SARIMA,7902664.718540184,8190091.344244678,2.7090882379519043,2.74910009066345
Michigan,Prophet,11589559.333411388,12250274.50674963,3.9730477015736883,4.0633715932592605
Michigan,XGBoost,1775116.8416666687,2078215.320275324,0.6079890124354642,0.6105253469331223
Michigan,LSTM,2248778.6036406457,2470191.0805204036,0.7711238854580967,0.770897869790582
Minnesota,SARIMA,2286680.9330582023,2572187.3958995813,1.4675395433062302,1.4813057250049104
Minnesota,Prophet,2550324.9887119606,3485553.23553551,1.636227327785415,1.661565253308869
Minnesota,XGBoost,1903339.6604166701,2298372.4656373146,1.2197647048517983,1.229655956960312
Minnesota,LSTM,1603688.4198104702,1842698.6874369981,1.0286783270182307,1.0317645200238947
Mississippi,SARIMA,2622288.77806608,2746404.4769399883,2.129827164840513,2.155014724821802
Mississippi,Prophet,11828416.05918987,12012653.947689028,9.607080868919585,10.108471057055059
Mississippi,XGBoost,689132.3562499974,846348.5143807406,0.5597291883216292,0.5619185809954139
Mississippi,LSTM,1008942.3387969341,1146829.3168042914,0.8193800614436477,0.8159634381147832
Missouri,SARIMA,2014487.9473555163,2288971.825267289,1.0361468035556063,1.0386706563092838
Missouri,Prophet,2340370.1266110353,2984252.8329423475,1.2023517296527608,1.2113098730297494
Missouri,XGBoost,3389558.0708333366,3763286.9301278517,1.7368321967162288,1.755345388771155
Missouri,LSTM,2345007.5780882463,2639831.0026185615,1.2057975949663933,1.2050071587027846
Nebraska,SARIMA,1387778.032979833,1570574.7626149787,2.2387655763788854,2.2069525163182417
Nebraska,Prophet,4233691.254732519,4319287.097817443,6.778798474106136,7.0264977981290375
Nebraska,XGBoost,1729405.8937500017,1846931.479249015,2.7782001020827987,2.8231884178118536
Nebraska,LSTM,590985.1725354744,800650.5068906922,0.9397243595547871,0.9467256759939223
